日志时间,自运行起秒,步骤耗时_ms,账号,页面,阶段,键/标签,动作,结果,是否成功
2026/4/24 7:14,876.891,4391.8,根少家的小铺83,pdd_aftersale_export,nav,goto,open_url,https://mms.pinduoduo.com/print/after-sale-list,是
2026/4/24 7:14,884.035,7143.97,根少家的小铺83,pdd_aftersale_export,interaction,pdd_close_print_ad_modal,click,div[class*='MmsUiPosterModal___closeIcon'],是
2026/4/24 7:14,885.456,1421.9,根少家的小铺83,pdd_aftersale_export,interaction,pdd_aftersale_time_type,selectFilter,已选择「售后申请时间」（候选: 售后申请时间）,是
2026/4/24 7:14,885.953,496.93,根少家的小铺83,pdd_aftersale_export,interaction,pdd_aftersale_query,click,button:has-text('查询'),是
2026/4/24 7:14,887.362,1408.23,根少家的小铺83,pdd_aftersale_export,interaction,pdd_aftersale_open_download_menu,click,button:has-text('下载数据'),是
2026/4/24 7:14,889.951,2589.34,根少家的小铺83,pdd_aftersale_export,interaction,export_pdd_aftersale_query_orders,click+download,D:\Program Files (x86)\fff2_dianshang\output\拼多多数据提取_20260424_070000_e126c2c1\downloads\拼多多数据提取_1_2026-04-23\根少家的小铺83_售后单_raw_2026-04-23.xlsx,是
2026/4/24 7:14,892.887,2936.08,根少家的小铺83,pdd_trade_data_operation,nav,goto,open_url,https://mms.pinduoduo.com/sycm/stores_data/operation?dateFlag=0,是
2026/4/24 7:15,900.593,7705.66,根少家的小铺83,pdd_trade_data_operation,interaction,pdd_trade_scroll_to_bottom_before_page_size,scroll,window:end,是
2026/4/24 7:16,989.385,88791.94,根少家的小铺83,pdd_trade_data_operation,interaction,pdd_trade_table_page_size_open,click,#mf-mms-sycm-container div[class*='select']:has-text('10'),是
2026/4/24 7:16,1011.978,22593.32,根少家的小铺83,pdd_trade_data_operation,interaction,pdd_trade_table_page_size_50,click,li[role='option']:has-text('50'),是
2026/4/24 7:17,1051.214,39235.75,根少家的小铺83,pdd_trade_data_operation,field,成交金额,extract:tableColumnAgg,465.11  ← tableColumnAgg:#mf-mms-sycm-container > div > div > div > div:nth-child(5) > div.TB_outerWrapper_5-158-0.TB_bordered_5-158-0.TB_notTree#col1 n=28 p=1 sum,是
2026/4/24 7:18,1087.517,36303.53,根少家的小铺83,pdd_trade_data_operation,field,成交订单数,extract:tableColumnAgg,161  ← tableColumnAgg:#mf-mms-sycm-container > div > div > div > div:nth-child(5) > div.TB_outerWrapper_5-158-0.TB_bordered_5-158-0.TB_notTree#col2 n=28 p=1 sum,是
2026/4/24 7:18,1123.823,36305.35,根少家的小铺83,pdd_trade_data_operation,field,成交买家数,extract:tableColumnAgg,159.00  ← tableColumnAgg:#mf-mms-sycm-container > div > div > div > div:nth-child(5) > div.TB_outerWrapper_5-158-0.TB_bordered_5-158-0.TB_notTree#col3 n=28 p=1 sum,是
2026/4/24 7:18,1124.078,255.76,根少家的小铺83,pdd_trade_data_operation,field,客单价,extract:computedDivide,2.93  ← computedDivide:pdd_trade_amount/pdd_trade_buyer_count,是
2026/4/24 7:18,1124.452,373.79,根少家的小铺83,pdd_promotion_overview,nav,goto,open_url,https://yingxiao.pinduoduo.com/goods/report/promotion/overView?beginDate=2026-04-23&endDate=2026-04-23&msfrom=mms_sidenav,是
2026/4/24 7:18,1128.799,4347.31,根少家的小铺83,pdd_promotion_overview,interaction,pdd_overview_switch_to_table,click,#page-container div[class*='TabRow_radioWrap'] label:has-text('表格'),是
2026/4/24 7:18,1130.481,1681.39,根少家的小铺83,pdd_promotion_overview,interaction,pdd_overview_uncheck_compare_time,click,#page-container label.anq-checkbox-wrapper-checked:has-text('对比时间'),是
2026/4/24 7:18,1133.806,3325.45,根少家的小铺83,pdd_promotion_overview,field,成本花费(元),extract:tableTotalByHeader,16.50  ← tableTotalByHeader:#page-container > div > div.OverviewInternal_contentWrapper__QeUQR > div > div.ReportOverview_wrap__oJSxK > div:nth-chil#col1 row=firstBodyRow hdr=成交花费(元),是
2026/4/24 7:18,1134.113,306.39,根少家的小铺83,pdd_promotion_overview,field,净实际投产比,extract:tableTotalByHeader,13.71  ← tableTotalByHeader:#page-container > div > div.OverviewInternal_contentWrapper__QeUQR > div > div.ReportOverview_wrap__oJSxK > div:nth-chil#col7 row=firstBodyRow hdr=净实际投产比,是
2026/4/24 7:18,1134.407,294.43,根少家的小铺83,pdd_promotion_overview,field,每笔净成交花费(元),extract:tableTotalByHeader,0.24  ← tableTotalByHeader:#page-container > div > div.OverviewInternal_contentWrapper__QeUQR > div > div.ReportOverview_wrap__oJSxK > div:nth-chil#col9 row=firstBodyRow hdr=每笔净成交花费,是
2026/4/24 7:18,1134.772,365.03,根少家的小铺83,pdd_cashier_bills_reconcile,nav,goto,open_url,https://mms.pinduoduo.com/cashier/finance/payment-bills,是
2026/4/24 7:19,1138.715,3942.45,根少家的小铺83,pdd_cashier_bills_reconcile,interaction,pdd_cashier_open_time_filter,click,xpath=//*[@id='root']/div/div[2]/div/div[1]/div/div[3]/div/div[2]/div[2]/div/div[1]/div/div/div[1]/div/div/div/div/div/div[1]/input,是
2026/4/24 7:19,1139.415,700.93,根少家的小铺83,pdd_cashier_bills_reconcile,interaction,pdd_cashier_quick_yesterday,click,div[class*='RPR_quickPickerWrapper'] button:has-text('昨天'),是
2026/4/24 7:19,1140.195,779.15,根少家的小铺83,pdd_cashier_bills_reconcile,interaction,pdd_cashier_expand_advanced,click,a:has-text('展开高级选项'),是
2026/4/24 7:19,1141.087,892.79,根少家的小铺83,pdd_cashier_bills_reconcile,interaction,pdd_cashier_acct_type_技术服务费,click,"xpath=(//div[contains(@class,'Container_container')]//div[contains(@class,'TAB_outerWrapper')]//div[contains(@class,'TAB_content')]/div/div[1]/div//label[.//*[contains(@class,'CBX_textWrapper')][normalize-space()='技术服务费']])[1]",是
2026/4/24 7:19,1141.602,514.15,根少家的小铺83,pdd_cashier_bills_reconcile,interaction,pdd_cashier_acct_type_多多进宝,click,"xpath=(//div[contains(@class,'Container_container')]//div[contains(@class,'TAB_outerWrapper')]//div[contains(@class,'TAB_content')]/div/div[1]/div//label[.//*[contains(@class,'CBX_textWrapper')][normalize-space()='多多进宝']])[1]",是
2026/4/24 7:19,1142.094,492.77,根少家的小铺83,pdd_cashier_bills_reconcile,interaction,pdd_cashier_acct_type_扣款,click,"xpath=(//div[contains(@class,'Container_container')]//div[contains(@class,'TAB_outerWrapper')]//div[contains(@class,'TAB_content')]/div/div[1]/div//label[.//*[contains(@class,'CBX_textWrapper')][normalize-space()='扣款']])[1]",是
2026/4/24 7:19,1142.577,483.13,根少家的小铺83,pdd_cashier_bills_reconcile,interaction,pdd_cashier_acct_type_其他服务,click,"xpath=(//div[contains(@class,'Container_container')]//div[contains(@class,'TAB_outerWrapper')]//div[contains(@class,'TAB_content')]/div/div[1]/div//label[.//*[contains(@class,'CBX_textWrapper')][normalize-space()='其他服务']])[1]",是
2026/4/24 7:19,1143.075,497.4,根少家的小铺83,pdd_cashier_bills_reconcile,interaction,pdd_cashier_acct_type_其他,click,"xpath=(//div[contains(@class,'Container_container')]//div[contains(@class,'TAB_outerWrapper')]//div[contains(@class,'TAB_content')]/div/div[1]/div//label[.//*[contains(@class,'CBX_textWrapper')][normalize-space()='其他']])[1]",是
2026/4/24 7:19,1143.559,484.21,根少家的小铺83,pdd_cashier_bills_reconcile,interaction,pdd_cashier_acct_type_分账,click,"xpath=(//div[contains(@class,'Container_container')]//div[contains(@class,'TAB_outerWrapper')]//div[contains(@class,'TAB_content')]/div/div[1]/div//label[.//*[contains(@class,'CBX_textWrapper')][normalize-space()='分账']])[1]",是
2026/4/24 7:19,1144.051,492.06,根少家的小铺83,pdd_cashier_bills_reconcile,interaction,pdd_cashier_acct_type_服务消费,click,"xpath=(//div[contains(@class,'Container_container')]//div[contains(@class,'TAB_outerWrapper')]//div[contains(@class,'TAB_content')]/div/div[1]/div//label[.//*[contains(@class,'CBX_textWrapper')][normalize-space()='服务消费']])[1]",是
2026/4/24 7:19,1144.543,491.79,根少家的小铺83,pdd_cashier_bills_reconcile,interaction,pdd_cashier_query,click,#root div[class*='Container_container'] button:has-text('查询'),是
2026/4/24 7:19,1152.416,7872.75,根少家的小铺83,pdd_cashier_bills_reconcile,interaction,export_pdd_cashier_balance,click+download,D:\Program Files (x86)\fff2_dianshang\output\拼多多数据提取_20260424_070000_e126c2c1\downloads\拼多多数据提取_1_2026-04-23\根少家的小铺83_对账_2026-04-23_raw.zip,是
2026/4/24 7:19,1156.288,3872.69,胡小涛小店87,globalAccountLoop,nav,goto,open_url,https://mms.pinduoduo.com/login/,是
2026/4/24 7:19,1156.294,5.98,胡小涛小店87,globalAccountLoop,account,switch,switchAccount,globalAccountLoop：锚点无需 UI 切店（如拼多多：店铺轮次由 pageIds 内登录与业务页完成）,是
2026/4/24 7:19,1156.725,430.5,胡小涛小店87,pdd_login_switch,nav,goto,skip_same_url,https://mms.pinduoduo.com/login/,是
2026/4/24 7:19,1158.146,1421.19,胡小涛小店87,pdd_login_switch,interaction,pdd_login_tab_account,click,#root > div.pdd-app-skeleton > div > div > main > div > section.login-content > div > div > div > div.login-tab > div > div > div:nth-child(2),是
2026/4/24 7:19,1158.806,659.65,胡小涛小店87,pdd_login_switch,interaction,pdd_input_username_current_account,input,#usernameId <- account_username,是
2026/4/24 7:19,1159.376,569.88,胡小涛小店87,pdd_login_switch,interaction,pdd_click_login_submit,click,#root > div.pdd-app-skeleton > div > div > main > div > section.login-content > div > div > div > div.password-section > section > div > div > button,是
2026/4/24 7:19,1163.748,4372.66,胡小涛小店87,pdd_aftersale_export,nav,goto,open_url,https://mms.pinduoduo.com/print/after-sale-list,是
2026/4/24 7:19,1170.891,7143.14,胡小涛小店87,pdd_aftersale_export,interaction,pdd_close_print_ad_modal,click,div[class*='MmsUiPosterModal___closeIcon'],是
2026/4/24 7:19,1172.324,1432.27,胡小涛小店87,pdd_aftersale_export,interaction,pdd_aftersale_time_type,selectFilter,已选择「售后申请时间」（候选: 售后申请时间）,是
2026/4/24 7:19,1172.825,500.91,胡小涛小店87,pdd_aftersale_export,interaction,pdd_aftersale_query,click,button:has-text('查询'),是
2026/4/24 7:19,1174.246,1421.06,胡小涛小店87,pdd_aftersale_export,interaction,pdd_aftersale_open_download_menu,click,button:has-text('下载数据'),是
2026/4/24 7:19,1176.607,2360.95,胡小涛小店87,pdd_aftersale_export,interaction,export_pdd_aftersale_query_orders,click+download,D:\Program Files (x86)\fff2_dianshang\output\拼多多数据提取_20260424_070000_e126c2c1\downloads\拼多多数据提取_1_2026-04-23\胡小涛小店87_售后单_raw_2026-04-23.xlsx,是
2026/4/24 7:19,1179.473,2865.98,胡小涛小店87,pdd_trade_data_operation,nav,goto,open_url,https://mms.pinduoduo.com/sycm/stores_data/operation?dateFlag=0,是
2026/4/24 7:19,1187.186,7713.42,胡小涛小店87,pdd_trade_data_operation,interaction,pdd_trade_scroll_to_bottom_before_page_size,scroll,window:end,是
2026/4/24 7:21,1275.961,88775.16,胡小涛小店87,pdd_trade_data_operation,interaction,pdd_trade_table_page_size_open,click,#mf-mms-sycm-container div[class*='select']:has-text('10'),是
